comp,H2_wtpercent,Enthalpy,Temp_C,P_atm,Phase
Pd.95Bi.05,0.4,37.8,100,0.16,SS
Pd.95Co.05,1000,31.8,50,1.8,SS
V.855Cr.145,2.3,29.7,50,50,SS
V.8Ti.2,3,48.1,80,2,SS
V.8Ti.2,3.4,60,110,1.8,SS
Zr.975Nb.025,2.2,219,800,0.2,SS
V0.85Ti0.1Fe0.05,1.5,42.9,100,53.14,AB2
Ti0.9Zr0.1Mn1.4Cr0.35V0.2Fe0.05,1000,25.89,100,91.14,AB2
TiCr1.9,1000,26.19,30,72.34,AB2
(Ti0.97Zr0.03)1.1Cr1.6Mn0.4,1000,23.4,99,527.9,AB2
TiCr1.5Mn0.25Fe0.25,1000,19.32,25,83.61,AB2
TiCr1.5Mn0.2Fe0.3,1000,18.32,25,116.4,AB2
TiCrMn,1000,19.6,25,126.8,AB2
(Ti0.8Zr0.2)1.1CrMn,1000,28.3,100,75.6,AB2
TiFe,1.9,28.1,100,40.1,AB
TiMn1.5,1.9,28,100,81.3,AB2
TiCr1.75Al0.05,1.9,24,100,500.9,AB2
TiCr1.7Al0.2,1000,28.1,100,600.8,AB2
TiCr1.6Mn0.2,1000,28,100,659,AB2
TiCr0.95Mn0.95,1000,22.8,100,646,AB2
TiCr1.75Ni0.1,1000,20.5,100,577.2,AB2
TiCr1.7Ni0.3,1000,21.7,100,343.5,AB2
TiCr1.9Mo0.01,1000,24.8,100,269.8,AB2
Ti1.1CrMn,1.6,22.9,100,610.7,AB2
(Ti0.85Zr0.15)1.1CrMn,1.5,26.6,100,135.5,AB2
(Ti0.85Zr0.15)1.1Cr0.95Mo0.05Mn,1000,26.2,100,223.9,AB2
(Ti0.85Zr0.15)1.1Cr0.9Mo0.1Mn,1.78,23.7,80,103.3,AB2
(Ti0.85Zr0.15)1.1Cr0.85Mo0.15Mn,1.67,21.7,80,114.7,AB2
(Ti0.85Zr0.15)1.1Cr0.98W0.02Mn,1.52,26.3,80,112.8,AB2
(Ti0.85Zr0.15)1.1Cr0.95W0.05Mn,1.43,24.3,80,128.3,AB2
(Ti0.85Zr0.15)1.1Cr0.9W0.1Mn,1.36,22.6,80,167.5,AB2
TiCr1.6Mn0.2Fe0.2,1000,19.66,162,1000,AB2
TiCr1.58Mn0.2Fe0.2,1000,19.9,159,1000,AB2
TiCr1.55Mn0.2Fe0.2,1000,20.32,157,1000,AB2
TiCr1.5Mn0.2Fe0.2,1000,20.78,164,1000,AB2
Ti0.9Zr0.2Mn1.8V0.2,1000,26.01,120,38.92124228,AB2
Ti0.9Zr0.2Mn1.6Ni0.2V0.2,1000,31.7,120,56.01632651,AB2
Ti0.9Zr0.15Mn1.6Cr0.2V0.2,1000,15.37,120,26.40240838,AB2
Ti0.9Zr0.2Mn1.4Cr0.4V0.2,1000,26.7,120,30.03406311,AB2
Ti0.9Zr0.2Mn1.8(VFe)0.2,1000,29.15,120,53.68176183,AB2
Ti0.9Zr0.2Mn1.6Ni0.2(VFe)0.2,1000,23.19,120,41.9994676,AB2
Ti0.9Zr0.15Mn1.6Cr0.2(VFe)0.2,1000,29.98,120,88.31322121,AB2
Ti0.9Zr0.2Mn1.4Cr0.4(VFe)0.2,1000,25.49,120,41.24759898,AB2
Ti0.97Zr0.019V0.439Fe0.097Cr0.045Al0.026Mn1.5,1000,25.4,100,129.4099399,AB2
Ti0.98Zr0.02V0.43Fe0.09Cr0.05Mn1.5,1000,27.4,100,103.4711926,AB2
Ti0.98Zr0.02V0.41Fe0.08Cr0.05Mn1.46,1000,29.2,100,175.1527976,AB2
Ti0.95Zr0.05V0.43Fe0.08Al0.01Mn1.48,1000,29.4,100,28.02480087,AB2
Ti0.955Zr0.045V0.43Fe0.12Al0.03Mn1.52,1000,28.7,100,122.6857211,AB2
TiCr1.78,1000,28.4,100,653.2642944,AB2
TiCr1.4Mn0.4,1000,28.3,100,369.7473668,AB2
TiCr1.2Mn0.6,1000,24.4,100,241.2942448,AB2
TiCrMn0.8,1000,22.4,100,223.4106271,AB2
CaNi5,1000,35.1,120,15.01149607,AB5
Ca0.95Zr0.05Ni5,1000,33.5,120,16.27070755,AB5
CaNi4.9Cr0.1,1000,37.2,120,17.67619252,AB5
Ca0.95Zr0.05Ni4.9Cr0.1,1000,31.6,120,34.43374242,AB5
