comp,H2_wtpercent,Enthalpy,Temp_C,P_atm,Phase,composition,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber
Th1.5Ce.5Al,0.4,133,650,0.0003,A2B,Th1.5 Ce0.5 Al1,13,90,77,59,31,90,15,73,58,34.83333333,25.44444444,16,26.9815386,232.03806,205.0565214,148.3655429,83.67251713,232.03806,933.47,2023,1089.53,1501.156667,521.8433333,2023,3,13,10,6.333333333,4.444444444,3,3,7,4,5.5,1.666666667,7,121,206,85,177.3333333,37.55555556,206,1.12,1.61,0.49,1.373333333,0.157777778,1.3,2,2,0,2,0,2,0,1,1,0.333333333,0.444444444,0,0,2,2,1.166666667,0.833333333,2,0,1,1,0.166666667,0.277777778,0,3,4,1,3.666666667,0.444444444,4,0,0,0,0,0,0,0,5,5,1.666666667,2.222222222,0,0,9,9,5.5,3.666666667,8,0,13,13,2.166666667,3.611111111,0,5,22,17,9.333333333,4.222222222,8,16.48,37.24,20.76,27.885,7.603333333,32.37,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,219.8333333,8.611111111,225
Th2Al,0.8,130,500,0.001,A2B,Th2 Al1,13,90,77,64.33333333,34.22222222,90,16,73,57,35,25.33333333,16,26.9815386,232.03806,205.0565214,163.6858862,91.13623173,232.03806,933.47,2023,1089.53,1659.823333,484.2355556,2023,3,13,10,6.333333333,4.444444444,3,3,7,4,5.666666667,1.777777778,7,121,206,85,177.6666667,37.77777778,206,1.3,1.61,0.31,1.403333333,0.137777778,1.3,2,2,0,2,0,2,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,0,0,0,0,0,3,4,1,3.666666667,0.444444444,4,0,0,0,0,0,0,0,5,5,1.666666667,2.222222222,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,5,8,3,7,1.333333333,8,16.48,32.37,15.89,27.07333333,7.062222222,32.37,0,0,0,0,0,0,0,0,0,0,0,0,225,225,0,225,0,225
Ti2Cu,2.2,130,500,0.12,A2B,Ti2 Cu1,22,29,7,24.33333333,3.111111111,22,43,64,21,50,9.333333333,43,47.867,63.546,15.679,53.09333333,6.968444444,47.867,1357.77,1941,583.23,1746.59,259.2133333,1941,4,11,7,6.333333333,3.111111111,4,4,4,0,4,0,4,132,160,28,150.6666667,12.44444444,160,1.54,1.9,0.36,1.66,0.16,1.54,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,16.69,5.62,14.81666667,2.497777778,16.69,0,0,0,0,0,0,0,2.25E-05,2.25E-05,1.50E-05,1.00E-05,2.25E-05,194,225,31,204.3333333,13.77777778,194
Ti2Pd,1.4,90,0,1000,A2B,Ti2 Pd1,22,46,24,30,10.66666667,22,43,62,19,49.33333333,8.444444444,43,47.867,106.42,58.553,67.38466667,26.02355556,47.867,1828.05,1941,112.95,1903.35,50.2,1941,4,10,6,6,2.666666667,4,4,5,1,4.333333333,0.444444444,4,139,160,21,153,9.333333333,160,1.54,2.2,0.66,1.76,0.293333333,1.54,0,2,2,1.333333333,0.888888889,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,10,6,6,2.666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,14.41,16.69,2.28,15.93,1.013333333,16.69,0,0,0,0,0,0,0,2.25E-05,2.25E-05,1.50E-05,1.00E-05,2.25E-05,194,225,31,204.3333333,13.77777778,194
Zr2Cu,1.3,144,600,0.003,A2B,Zr2 Cu1,29,40,11,36.33333333,4.888888889,40,44,64,20,50.66666667,8.888888889,44,63.546,91.224,27.678,81.998,12.30133333,91.224,1357.77,2128,770.23,1871.256667,342.3244444,2128,4,11,7,6.333333333,3.111111111,4,4,5,1,4.666666667,0.444444444,5,132,175,43,160.6666667,19.11111111,175,1.33,1.9,0.57,1.52,0.253333333,1.33,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,23.195,12.125,19.15333333,5.388888889,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
Zr2Cu,1.3,142,700,0.02,A2B,Zr2 Cu1,29,40,11,36.33333333,4.888888889,40,44,64,20,50.66666667,8.888888889,44,63.546,91.224,27.678,81.998,12.30133333,91.224,1357.77,2128,770.23,1871.256667,342.3244444,2128,4,11,7,6.333333333,3.111111111,4,4,5,1,4.666666667,0.444444444,5,132,175,43,160.6666667,19.11111111,175,1.33,1.9,0.57,1.52,0.253333333,1.33,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,4,11,7,6.333333333,3.111111111,4,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,8,8,5.333333333,3.555555556,8,0,0,0,0,0,0,1,8,7,5.666666667,3.111111111,8,11.07,23.195,12.125,19.15333333,5.388888889,23.195,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
Zr2Ni,1.3,183,604,0.003,A2B,Zr2 Ni1,28,40,12,36,5.333333333,40,44,61,17,49.66666667,7.555555556,44,58.6934,91.224,32.5306,80.38046667,14.45804444,91.224,1728,2128,400,1994.666667,177.7777778,2128,4,10,6,6,2.666666667,4,4,5,1,4.666666667,0.444444444,5,124,175,51,158,22.66666667,175,1.33,1.91,0.58,1.523333333,0.257777778,1.33,2,2,0,2,0,2,0,0,0,0,0,0,2,8,6,4,2.666666667,2,0,0,0,0,0,0,4,10,6,6,2.666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,6,2.666666667,8,0,0,0,0,0,0,2,8,6,6,2.666666667,8,10.32,23.195,12.875,18.90333333,5.722222222,23.195,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Hf2Fe,1.1,70,277,0.38,A2B,Hf2 Fe1,26,72,46,56.66666667,20.44444444,72,45,55,10,48.33333333,4.444444444,45,55.845,178.49,122.645,137.6083333,54.50888889,178.49,1811,2506,695,2274.333333,308.8888889,2506,4,8,4,5.333333333,1.777777778,4,4,6,2,5.333333333,0.888888889,6,132,175,43,160.6666667,19.11111111,175,1.3,1.83,0.53,1.476666667,0.235555556,1.3,2,2,0,2,0,2,0,0,0,0,0,0,2,6,4,3.333333333,1.777777778,2,0,14,14,9.333333333,6.222222222,14,8,18,10,14.66666667,4.444444444,18,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,6.666666667,1.777777778,8,0,0,0,0,0,0,4,8,4,6.666666667,1.777777778,8,10.73,22.2,11.47,18.37666667,5.097777778,22.2,0,0,0,0,0,0,0,2.1106628,2.1106628,0.703554267,0.938072356,0,194,229,35,205.6666667,15.55555556,194
Mg1.5Ni,2.6,29.1,300,3.7,A2B,Mg1.5 Ni1,12,28,16,18.4,7.68,12,61,68,7,65.2,3.36,68,24.305,58.6934,34.3884,38.06036,16.506432,24.305,923,1728,805,1245,386.4,923,2,10,8,5.2,3.84,2,3,4,1,3.4,0.48,3,124,141,17,134.2,8.16,141,1.31,1.91,0.6,1.55,0.288,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,3.2,3.84,0,0,0,0,0,0,0,2,10,8,5.2,3.84,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.8,0.96,0,0,0,0,0,0,0,0,2,2,0.8,0.96,0,10.32,22.89,12.57,17.862,6.0336,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.23815788,0.285789456,0,194,225,31,206.4,14.88,194
Mg1.75Ni,2.8,26.6,300,4.5,A2B,Mg1.75 Ni1,12,28,16,17.81818182,7.404958678,12,61,68,7,65.45454545,3.239669421,68,24.305,58.6934,34.3884,36.80987273,15.91529256,24.305,923,1728,805,1215.727273,372.5619835,923,2,10,8,4.909090909,3.702479339,2,3,4,1,3.363636364,0.462809917,3,124,141,17,134.8181818,7.867768595,141,1.31,1.91,0.6,1.528181818,0.27768595,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.909090909,3.702479339,0,0,0,0,0,0,0,2,10,8,4.909090909,3.702479339,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.727272727,0.925619835,0,0,0,0,0,0,0,0,2,2,0.727272727,0.925619835,0,10.32,22.89,12.57,18.31909091,5.817520661,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.216507164,0.275554572,0,194,225,31,205.2727273,14.34710744,194
Mg1.92Al.08Ni,3.5,70.5,295,4,A2B,Mg1.92 Al0.08 Ni1,12,28,16,17.36,7.093333333,12,61,73,12,65.8,3.2,68,24.305,58.6934,34.3884,35.83917436,15.23615042,24.305,923,1728,805,1191.612533,357.5916444,923,2,13,11,4.96,3.7888,2,3,4,1,3.333333333,0.444444444,3,121,141,20,134.8,7.936,141,1.31,1.91,0.6,1.518,0.26624,1.31,2,2,0,2,0,2,0,1,1,0.026666667,0.051911111,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.693333333,3.537777778,2,0,0,0,0,0,0,0,5,5,0.133333333,0.259555556,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,5,5,0.8,1.024,0,10.32,22.89,12.57,18.52906667,5.581994667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,205.16,14.2848,194
Mg1.9Ti.1Ni,2.9,62.5,300,2.5,A2B,Mg1.9 Ti0.1 Ni1,12,28,16,17.66666667,7.177777778,12,43,68,25,64.83333333,4.011111111,68,24.305,58.6934,34.3884,36.5532,15.51438667,24.305,923,1941,1018,1225.266667,382.8711111,923,2,10,8,4.733333333,3.511111111,2,3,4,1,3.366666667,0.464444444,3,124,160,36,135.9666667,7.977777778,141,1.31,1.91,0.6,1.517666667,0.263044444,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.733333333,3.511111111,0,0,0,0,0,0,0,2,10,8,4.733333333,3.511111111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.933333333,1.182222222,0,0,0,0,0,0,0,0,8,8,0.933333333,1.182222222,0,10.32,22.89,12.57,18.49333333,5.569111111,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.198465651,0.264619366,0,194,225,31,204.3333333,13.77777778,194
Mg2Co,4.5,76,450,16,A2B,Mg2 Co1,12,27,15,17,6.666666667,12,58,68,10,64.66666667,4.444444444,68,24.305,58.933195,34.628195,35.84773167,15.39030889,24.305,923,1768,845,1204.666667,375.5555556,923,2,9,7,4.333333333,3.111111111,2,3,4,1,3.333333333,0.444444444,3,126,141,15,136,6.666666667,141,1.31,1.88,0.57,1.5,0.253333333,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,7,7,2.333333333,3.111111111,0,0,0,0,0,0,0,2,9,7,4.333333333,3.111111111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,10.245,22.89,12.645,18.675,5.62,22.89,0,0,0,0,0,0,0,1.5484712,1.5484712,0.516157067,0.688209422,0,194,194,0,194,0,194
Mg2Co,4.2,108,418,5.7,A2B,Mg2 Co1,12,27,15,17,6.666666667,12,58,68,10,64.66666667,4.444444444,68,24.305,58.933195,34.628195,35.84773167,15.39030889,24.305,923,1768,845,1204.666667,375.5555556,923,2,9,7,4.333333333,3.111111111,2,3,4,1,3.333333333,0.444444444,3,126,141,15,136,6.666666667,141,1.31,1.88,0.57,1.5,0.253333333,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,7,7,2.333333333,3.111111111,0,0,0,0,0,0,0,2,9,7,4.333333333,3.111111111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,0,0,0,0,0,0,0,3,3,1,1.333333333,0,10.245,22.89,12.645,18.675,5.62,22.89,0,0,0,0,0,0,0,1.5484712,1.5484712,0.516157067,0.688209422,0,194,194,0,194,0,194
Mg2Cu,2.6,72.9,295,6,A2B,Mg2 Cu1,12,29,17,17.66666667,7.555555556,12,64,68,4,66.66666667,1.777777778,68,24.305,63.546,39.241,37.38533333,17.44044444,24.305,923,1357.77,434.77,1067.923333,193.2311111,923,2,11,9,5,4,2,3,4,1,3.333333333,0.444444444,3,132,141,9,138,4,141,1.31,1.9,0.59,1.506666667,0.262222222,1.31,1,2,1,1.666666667,0.444444444,2,0,0,0,0,0,0,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,2,11,9,5,4,2,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0.444444444,0,11.07,22.89,11.82,18.95,5.253333333,22.89,0,0,0,0,0,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
Mg2Fe,5.5,77.2,450,25,A2B,Mg2 Fe1,12,26,14,16.66666667,6.222222222,12,55,68,13,63.66666667,5.777777778,68,24.305,55.845,31.54,34.81833333,14.01777778,24.305,923,1811,888,1219,394.6666667,923,2,8,6,4,2.666666667,2,3,4,1,3.333333333,0.444444444,3,132,141,9,138,4,141,1.31,1.83,0.52,1.483333333,0.231111111,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,6,6,2,2.666666667,0,0,0,0,0,0,0,2,8,6,4,2.666666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,10.73,22.89,12.16,18.83666667,5.404444444,22.89,0,0,0,0,0,0,0,2.1106628,2.1106628,0.703554267,0.938072356,0,194,229,35,205.6666667,15.55555556,194
Mg2Ni,3.1,31.3,300,3.7,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.2,61,250,1.1,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.3,67,300,2.2,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.3,65.9,300,3.2,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.3,63.2,300,3.1,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.5,64.4,180,0.09,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.5,64.4,180,0.07,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.5,68.6,180,0.05,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.6,64.5,299,3.2,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.6,64.6,300,2.5,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.6,68.8,180,0.06,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
Mg2Ni,3.6,71.3,300,2.6,A2B,Mg2 Ni1,12,28,16,17.33333333,7.111111111,12,61,68,7,65.66666667,3.111111111,68,24.305,58.6934,34.3884,35.7678,15.28373333,24.305,923,1728,805,1191.333333,357.7777778,923,2,10,8,4.666666667,3.555555556,2,3,4,1,3.333333333,0.444444444,3,124,141,17,135.3333333,7.555555556,141,1.31,1.91,0.6,1.51,0.266666667,1.31,2,2,0,2,0,2,0,0,0,0,0,0,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,2,10,8,4.666666667,3.555555556,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,2,2,0.666666667,0.888888889,0,10.32,22.89,12.57,18.7,5.586666667,22.89,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,194,225,31,204.3333333,13.77777778,194
