comp,H2_wtpercent,Enthalpy,Temp_C,P_atm,Phase,composition,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber
UNiAl,0.8,48,0,1000,MIC,U1 Ni1 Al1,13,92,79,44.33333333,31.77777778,13,20,73,53,51.33333333,20.88888889,20,26.9815386,238.02891,211.0473714,107.9012829,86.75175142,26.9815386,933.47,1728,794.53,1356.49,282.0133333,933.47,3,13,10,8.666666667,3.777777778,3,3,7,4,4.666666667,1.555555556,3,121,196,75,147,32.66666667,121,1.38,1.91,0.53,1.633333333,0.184444444,1.38,2,2,0,2,0,2,0,1,1,0.333333333,0.444444444,0,0,8,8,3,3.333333333,0,0,3,3,1,1.333333333,0,3,10,7,6.333333333,2.444444444,3,0,0,0,0,0,0,0,5,5,1.666666667,2.222222222,0,0,9,9,3.666666667,3.555555556,0,0,11,11,3.666666667,4.888888889,0,2,20,18,9,7.333333333,2,10.32,20.025,9.705,15.60833333,3.525555556,10.32,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,63,225,162,171,72,63
Y2Co7,1.3,38,20,0.25,MIC,Y2 Co7,27,39,12,29.66666667,4.148148148,27,12,58,46,47.77777778,15.90123457,58,58.933195,88.90585,29.972655,65.593785,10.36091778,58.933195,1768,1799,31,1774.888889,10.71604938,1768,3,9,6,7.666666667,2.074074074,9,4,5,1,4.222222222,0.345679012,4,126,190,64,140.2222222,22.12345679,126,1.22,1.88,0.66,1.733333333,0.228148148,1.88,2,2,0,2,0,2,0,0,0,0,0,0,1,7,6,5.666666667,2.074074074,7,0,0,0,0,0,0,3,9,6,7.666666667,2.074074074,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4.333333333,2.074074074,3,0,0,0,0,0,0,3,9,6,4.333333333,2.074074074,3,10.245,32.365,22.12,15.16055556,7.646419753,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,1.204366489,0.535273995,1.5484712,194,194,0,194,0,194
Y4.3Sc.7Si2.6Ge.4,0.5,39.4,426,1.5,MIC,Y4.3 Sc0.7 Si2.6 Ge0.4,14,39,25,28.95,11.10875,39,11,79,68,36.7125,31.065625,12,28.0855,88.90585,60.82035,64.48032418,27.07340784,88.90585,1211.4,1814,602.6,1734.5325,83.209375,1799,3,14,11,7.125,5.15625,3,3,5,2,4.2125,0.8465625,5,111,190,79,159.075,35.15625,190,1.22,2.01,0.79,1.49275,0.3164375,1.22,2,2,0,2,0,2,0,2,2,0.75,0.9375,0,0,10,10,1.125,0.8875,1,0,0,0,0,0,0,3,14,11,3.875,1.09375,3,0,0,0,0,0,0,0,4,4,1.5,1.875,0,0,9,9,5.625,4.21875,9,0,0,0,0,0,0,4,9,5,7.125,2.34375,9,20.44,32.365,11.925,27.135,5.62225,32.365,0,0.773,0.773,0.270375,0.33796875,0,0,6.35E-06,6.35E-06,5.56E-07,1.01E-06,0,194,227,33,206.275,15.34375,194
Y5Si3,0.4,53.3,398,0.3,MIC,Y5 Si3,14,39,25,29.625,11.71875,39,12,78,66,36.75,30.9375,12,28.0855,88.90585,60.82035,66.09821875,28.50953906,88.90585,1687,1799,112,1757,52.5,1799,3,14,11,7.125,5.15625,3,3,5,2,4.25,0.9375,5,111,190,79,160.375,37.03125,190,1.22,1.9,0.68,1.475,0.31875,1.22,2,2,0,2,0,2,0,2,2,0.75,0.9375,0,0,1,1,0.625,0.46875,1,0,0,0,0,0,0,3,4,1,3.375,0.46875,3,0,0,0,0,0,0,0,4,4,1.5,1.875,0,0,9,9,5.625,4.21875,9,0,0,0,0,0,0,4,9,5,7.125,2.34375,9,20.44,32.365,11.925,27.893125,5.58984375,32.365,0,0.773,0.773,0.289875,0.36234375,0,0,0,0,0,0,0,194,227,33,206.375,15.46875,194
Y5Si3C.3,1.1,44.7,0,1000,MIC,Y5 Si3 C0.3,6,39,33,28.77108434,12.32399477,39,12,78,66,38.20481928,31.57207142,12,12.0107,88.90585,76.89515,64.14324819,29.83446001,88.90585,1687,3823,2136,1831.674699,143.9512266,1799,3,14,11,7.373493976,5.26926985,3,2,5,3,4.168674699,1.001596748,5,76,190,114,157.3253012,39.36710698,190,1.22,2.55,1.33,1.513855422,0.354042677,1.22,2,2,0,2,0,2,0,2,2,0.795180723,0.958049064,0,0,1,1,0.602409639,0.479024532,1,0,0,0,0,0,0,3,4,1,3.397590361,0.479024532,3,0,0,0,0,0,0,0,4,4,1.590361446,1.916098127,0,0,9,9,5.421686747,4.311220787,9,0,0,0,0,0,0,4,9,5,7.012048193,2.395122659,9,5.64,32.365,26.725,27.08879518,6.356873276,32.365,0,4.496,4.496,0.441903614,0.532413993,0,0,0,0,0,0,0,194,227,33,205.9277108,15.23298011,194
Y5Si3C.5,1.4,39.5,0,1000,MIC,Y5 Si3 C0.5,6,39,33,28.23529412,12.66435986,39,12,78,66,39.11764706,31.90311419,12,12.0107,88.90585,76.89515,62.9166,30.57558824,88.90585,1687,3823,2136,1878.529412,228.7612457,1799,3,14,11,7.529411765,5.328719723,3,2,5,3,4.117647059,1.038062284,5,76,190,114,155.4117647,40.69204152,190,1.22,2.55,1.33,1.538235294,0.374394464,1.22,2,2,0,2,0,2,0,2,2,0.823529412,0.968858131,0,0,1,1,0.588235294,0.484429066,1,0,0,0,0,0,0,3,4,1,3.411764706,0.484429066,3,0,0,0,0,0,0,0,4,4,1.647058824,1.937716263,0,0,9,9,5.294117647,4.359861592,9,0,0,0,0,0,0,4,9,5,6.941176471,2.422145329,9,5.64,32.365,26.725,26.58411765,6.801038062,32.365,0,4.496,4.496,0.537294118,0.632110727,0,0,0,0,0,0,0,194,227,33,205.6470588,15.07266436,194
YCo3,1.5,44,75,0.45,MIC,Y1 Co3,27,39,12,30,4.5,27,12,58,46,46.5,17.25,58,58.933195,88.90585,29.972655,66.42635875,11.23974562,58.933195,1768,1799,31,1775.75,11.625,1768,3,9,6,7.5,2.25,9,4,5,1,4.25,0.375,4,126,190,64,142,24,126,1.22,1.88,0.66,1.715,0.2475,1.88,2,2,0,2,0,2,0,0,0,0,0,0,1,7,6,5.5,2.25,7,0,0,0,0,0,0,3,9,6,7.5,2.25,9,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4.5,2.25,3,0,0,0,0,0,0,3,9,6,4.5,2.25,3,10.245,32.365,22.12,15.775,8.295,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,1.1613534,0.5806767,1.5484712,194,194,0,194,0,194
Zr.1Tb.9Fe1.5Co1.5,1.1,21,75,0.5,MIC,Zr0.1 Tb0.9 Fe1.5 Co1.5,26,65,39,35.5,13.5,26,29,58,29,50,9.75,55,55.845,158.92535,103.08035,81.08062688,35.53729406,55.845,1629,2128,499,1761.85,59.7825,1768,3,9,6,7.15,2.025,8,4,6,2,4.475,0.7125,4,126,194,68,144.775,23.6625,126,1.21,1.88,0.67,1.69675,0.237375,1.83,2,2,0,2,0,2,0,0,0,0,0,0,0,7,7,4.925,2.3625,6,0,9,9,2.025,3.13875,0,4,11,7,8.95,0.96,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,2.825,1.27125,3,0,5,5,1.125,1.74375,0,3,8,5,3.95,0.7125,3,10.245,31.73666667,21.49166667,15.58625,7.648125,10.245,0,0,0,0,0,0,0,2.1106628,2.1106628,1.37217525,0.686087625,1.5484712,194,229,35,207.125,16.40625,194
Zr.2Tb.8Fe1.5Co1.5,0.8,20,75,1,MIC,Zr0.2 Tb0.8 Fe1.5 Co1.5,26,65,39,34.875,12.5625,26,29,58,29,50.375,9.1875,55,55.845,158.92535,103.08035,79.38809313,32.99849344,55.845,1629,2128,499,1774.325,62.87375,1768,3,9,6,7.175,1.9875,8,4,6,2,4.45,0.675,4,126,194,68,144.3,22.95,126,1.21,1.88,0.67,1.69975,0.232875,1.83,2,2,0,2,0,2,0,0,0,0,0,0,0,7,7,4.975,2.2875,6,0,9,9,1.8,2.88,0,4,11,7,8.775,1.05875,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3.025,1.22875,3,0,5,5,1,1.6,0,3,8,5,4.025,0.7875,3,10.245,31.73666667,21.49166667,15.37270833,7.3278125,10.245,0,0,0,0,0,0,0,2.1106628,2.1106628,1.37217525,0.686087625,1.5484712,194,229,35,207.125,16.40625,194
Zr2Ni5,0.5,35,60,0.8,MIC,Zr2 Ni5,28,40,12,31.42857143,4.897959184,28,44,61,17,56.14285714,6.93877551,61,58.6934,91.224,32.5306,67.98785714,13.27779592,58.6934,1728,2128,400,1842.285714,163.2653061,1728,4,10,6,8.285714286,2.448979592,10,4,5,1,4.285714286,0.408163265,4,124,175,51,138.5714286,20.81632653,124,1.33,1.91,0.58,1.744285714,0.236734694,1.91,2,2,0,2,0,2,0,0,0,0,0,0,2,8,6,6.285714286,2.448979592,8,0,0,0,0,0,0,4,10,6,8.285714286,2.448979592,10,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,3.714285714,2.448979592,2,0,0,0,0,0,0,2,8,6,3.714285714,2.448979592,2,10.32,23.195,12.875,13.99857143,5.255102041,10.32,0,0,0,0,0,0,0,0.5953947,0.5953947,0.425281929,0.243018245,0.5953947,194,225,31,216.1428571,12.65306122,225
